Feature_1;Feature_2;Feature_3;Feature_4;Feature_5;Feature_6;Feature_7;Feature_8;Feature_9;Feature_10;Feature_11;Feature_12;Feature_13;Feature_14;Feature_15;Feature_16;Feature_17;Feature_18;Feature_19;Feature_20;Feature_21;Feature_22;Feature_23;Feature_24;Feature_25;Feature_26;Feature_27;Feature_28;Feature_29;Feature_30;Feature_31;Feature_32;Output
D;A;A;A;A;E;A;A;;;3000;450;40;;;;;;610;;0;2004;;54400;54100;9145;9094;1;1;6;1;2;3510
F;A;A;B;A;E;A;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;32;1;52;
C;A;A;D;A;I;A;A;;;;0;0;;;0;;0;0;0;0;;0;;1;;1;0;0;0;0;0;
C;A;A;D;A;I;A;A;;;125;0;0;;;0;0;0;0;0;0;;0;;605;;303;0;0;0;0;0;
C;A;A;D;A;I;A;A;;;;0;0;;;0;;0;0;0;0;;0;;176;;88;0;0;0;0;0;
A;A;A;D;A;I;A;A;;;;0;0;;;;;;905;0;31;2011;24;;431;;;1;1;5;1;6;823
E;A;A;A;A;A;B;A;;;;0;329;;;0;0;0;0;;;;;;2005;;267;1;1;15;1;15;
E;A;A;A;A;A;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;0;0;0;0;0;
F;A;A;C;A;A;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;841;;336;0;0;0;0;0;
C;A;A;C;A;A;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;11;1;12;
E;A;A;A;A;A;B;A;;;150;285;379;1;25;0;0;;;1247;;;0;1441;1491;432;447;1;1;2;1;1;
A;A;A;D;A;A;B;A;;1983;;0;0;;;;;;;0;;;0;;54;;54;0;0;0;0;0;
A;A;A;D;A;A;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;33;;13;0;0;0;0;0;
A;A;A;D;A;A;B;A;;;;0;0;;;;0;;;0;;;0;124;125;38;38;1;1;9;0;0;
A;A;A;D;A;A;B;A;;;3;0;0;;;;0;;;0;;;0;36;31;36;31;0;0;0;0;0;
A;A;A;D;A;A;B;A;;;;0;0;;;0;0;0;0;0;;;0;42;26;42;26;0;0;0;0;0;
A;A;A;D;A;A;B;A;;1993;;0;0;;;0;0;;;0;;;0;17;17;7;7;0;0;0;0;0;
A;A;A;D;A;A;B;A;;;49;192;78;2;20;0;214;610;187;1006;12;2012;0;791;746;301;283;1;1;4;1;6;1184
C;A;A;D;A;A;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;0;0;0;0;0;
E;A;A;D;A;A;B;A;2015;;;0;0;;30;0;0;548;1203;0;15;2016;428;58;60;23;24;0;0;0;0;0;591
E;A;A;D;A;A;B;A;2012;;;0;0;;30;211;0;183;197;0;260;2013;0;36;53;14;21;0;0;0;0;0;730
E;A;A;D;A;A;B;A;2012;;;0;0;;30;0;0;0;;0;;2013;0;51;32;21;13;0;0;0;0;0;2374
E;A;A;D;A;A;B;A;2012;;;0;0;;30;0;0;0;0;0;;;0;57;52;23;21;0;0;0;0;0;
E;A;A;D;A;A;B;A;;;;0;0;;;58;155;0;;0;7;2020;0;160;143;64;57;0;0;0;0;0;434
F;A;A;D;A;A;B;A;;;;0;0;;;0;0;;;0;0;;0;;36;;18;1;1;1;1;2;
F;A;A;D;A;A;B;A;;1975;;0;0;;;0;0;458;646;0;0;2013;0;20;15;20;15;0;0;0;0;0;814
F;A;A;D;A;A;B;A;;1975;;0;0;;;0;0;465;465;0;0;2010;0;15;19;15;19;0;0;0;0;0;1969
F;A;A;D;A;A;B;A;;;9;0;5;;;;0;;0;0;0;2007;0;55;59;55;59;1;0;0;0;0;2604
F;A;A;D;A;A;B;A;;;3;0;0;;;0;0;0;0;0;;;-1;26;25;26;25;0;0;0;0;0;
F;A;A;D;A;A;B;A;;;;0;0;;30;;212;122;;0;;;0;49;62;49;62;0;0;0;0;0;
A;A;A;D;A;A;B;A;;2013;10;3;4;;;0;0;1155;;0;;;0;40;1;;;0;0;0;0;0;
B;A;A;D;A;A;B;A;;;;0;0;;;0;0;212;242;0;;2017;0;46;41;17;16;0;0;0;0;0;546
E;A;A;A;A;B;B;A;;;2;0;22;;;;;0;0;;0;;0;;;;;1;1;12;1;21;
E;A;A;A;A;B;B;A;;;1800;0;0;;;0;0;1286;1275;;11;2013;0;;451;;60;1;1;2;1;2;459
E;A;A;A;A;B;B;A;;;745;105;80;9;30;0;0;555;1286;275;0;2013;0;5197;5197;693;693;1;1;22;0;0;2337
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;12;1;17;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;1;1;2;
D;A;A;B;A;B;B;A;;1999;;0;15;;;0;0;0;;0;-210;2003;;;0;;0;1;1;25;1;40;1387
D;A;A;B;A;B;B;A;;;;0;0;;;0;0;;;0;;;;;6000;;;1;1;3;1;5;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;7;1;13;
F;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;1;1;2;
A;A;A;C;A;B;B;A;;;;0;0;;;;;;;0;;;;;1944;;194;0;0;0;0;0;
A;A;A;C;A;B;B;A;;;157;0;14;;;0;0;0;;;-2;2006;;;822;;82;1;1;23;1;21;968
A;A;A;C;A;B;B;A;;1998;275;160;51;;20;;;897;813;1096;34;2012;;6740;6740;674;674;1;1;13;1;20;1787
A;A;A;C;A;B;B;A;;;;0;0;;30;;;1310;1103;130;207;2010;0;2107;2064;211;206;1;1;6;1;11;2251
A;A;A;C;A;B;B;A;;1997;;0;0;;;0;0;0;0;0;;;;3570;4070;714;814;0;0;0;0;0;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;9;1;16;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;7;1;11;
F;A;A;C;A;B;B;A;;;;0;8;;;0;0;;947;0;-28;2011;0;2303;1396;919;557;1;1;4;1;6;822
F;A;A;C;A;B;B;A;;;;0;0;;;;0;106;106;0;0;2008;0;12103;7451;4829;2973;1;1;1;1;1;2601
F;A;A;C;A;B;B;A;;;;0;25;;;0;0;0;0;0;0;;0;;;;;1;1;30;1;35;
F;A;A;C;A;B;B;A;;;;0;0;;;0;0;;;0;0;;;;4651;;1856;1;1;13;1;18;
F;A;A;C;A;B;B;A;;;203;0;36;;;0;0;;;0;;;0;8475;7294;3382;2910;1;1;23;1;30;
F;A;A;C;A;B;B;A;;;;0;0;;;0;0;214;;0;;;0;630;563;252;225;0;0;0;0;0;
F;A;A;C;A;B;B;A;;;59;0;8;;;0;0;0;0;0;;;0;752;714;300;285;0;0;0;0;0;
F;A;A;C;A;B;B;A;;;252;55;0;;;;248;232;242;0;-10;2011;0;23136;23066;9231;9203;1;1;63;1;83;1410
F;A;A;C;A;B;B;A;;;;0;0;;;;402;;;0;;;63;9986;1683;3984;672;1;1;19;1;27;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;4;1;8;
F;A;A;B;A;B;B;A;;1981;;0;24;;;0;0;0;0;0;;;;;0;;;1;1;6;1;11;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;8;1;15;
F;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;651;;33;0;0;0;0;0;
F;A;A;C;A;B;B;A;;1981;;0;0;;;0;0;0;0;0;;;;;0;;0;1;1;25;1;36;
F;A;A;C;A;B;B;A;;1994;;0;11;;;0;0;0;0;0;;;;;0;;0;1;1;18;1;29;
F;A;A;D;A;B;B;A;2011;1976;250;145;11;5;20;140;210;475;64;2344;412;2011;-70;29992;41314;;;1;1;467;1;10;2749
A;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;;1;1;2;1;3;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;1;1;9;1;17;
B;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;1;1;2;
C;A;A;C;A;B;B;A;;;;10;0;;;;;;;;;;0;;0;;0;1;1;37;1;52;
C;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;132;;44;1;1;3;1;6;
C;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;1;1;2;1;2;
C;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;;;;;0;;0;0;0;0;0;0;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;6;1;9;
F;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;7;1;10;
F;A;A;B;A;B;B;A;;1981;;0;0;;;0;0;0;0;0;;;;;0;;0;1;1;1;1;1;
F;A;A;B;A;B;B;A;;1974;;0;0;;;0;0;0;0;0;;;;;0;;0;1;1;5;1;9;
F;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;1852;;185;0;0;0;0;0;
F;A;A;C;A;B;B;A;;1974;266;121;14;5;25;0;0;445;383;;59;2012;0;29401;28038;4410;4206;1;1;39;0;0;1613
F;A;A;C;A;B;B;A;;;50;0;0;;;0;0;0;0;0;0;;0;;665;;145;0;0;0;0;0;
F;A;A;C;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;913;;134;0;0;0;0;0;
B;A;A;B;A;B;B;A;;;;0;0;;;0;0;0;0;0;0;;0;;;;;1;1;8;1;13;
